date,description,amount,currency,account,source_file,source_row,category,subcategory
2025-01-12,VANGUARD TOTAL STOCK MKT ETF — DIVIDEND,38.47,USD,Brokerage,demo_brokerage_2025.csv,1,EXCLUDE,Investment activity
2025-03-19,INCOMING TRANSFER FROM CHECKING 0000,2000.0,USD,Brokerage,demo_brokerage_2025.csv,2,TRANSFER,transfer from Checking
2025-03-21,BUY VTI,-2027.57,USD,Brokerage,demo_brokerage_2025.csv,3,EXCLUDE,Investment activity
2025-04-12,VANGUARD TOTAL STOCK MKT ETF — DIVIDEND,44.05,USD,Brokerage,demo_brokerage_2025.csv,4,EXCLUDE,Investment activity
2025-06-19,INCOMING TRANSFER FROM CHECKING 0000,2000.0,USD,Brokerage,demo_brokerage_2025.csv,5,TRANSFER,transfer from Checking
2025-06-21,BUY VTI,-2040.85,USD,Brokerage,demo_brokerage_2025.csv,6,EXCLUDE,Investment activity
2025-07-12,VANGUARD TOTAL STOCK MKT ETF — DIVIDEND,41.49,USD,Brokerage,demo_brokerage_2025.csv,7,EXCLUDE,Investment activity
2025-09-19,INCOMING TRANSFER FROM CHECKING 0000,2000.0,USD,Brokerage,demo_brokerage_2025.csv,8,TRANSFER,transfer from Checking
2025-09-21,BUY VTI,-2008.85,USD,Brokerage,demo_brokerage_2025.csv,9,EXCLUDE,Investment activity
2025-10-12,VANGUARD TOTAL STOCK MKT ETF — DIVIDEND,44.73,USD,Brokerage,demo_brokerage_2025.csv,10,EXCLUDE,Investment activity
2025-12-19,INCOMING TRANSFER FROM CHECKING 0000,2000.0,USD,Brokerage,demo_brokerage_2025.csv,11,TRANSFER,transfer from Checking
2025-12-21,BUY VTI,-2006.86,USD,Brokerage,demo_brokerage_2025.csv,12,EXCLUDE,Investment activity
2025-01-01,RENT - PARK STREET PROPERTIES,-2590.38,USD,Checking,demo_checking_2025.csv,1,Housing,Rent
2025-01-03,PG&E ELECTRIC AUTOPAY,-91.59,USD,Checking,demo_checking_2025.csv,2,EXCLUDE,Credit card payment
2025-01-03,CHEVRON 0099,-38.87,USD,Checking,demo_checking_2025.csv,3,Transport,Fuel
2025-01-03,CHIPOTLE 0298,-18.74,USD,Checking,demo_checking_2025.csv,4,Restaurants,Fast food
2025-01-05,AT&T MOBILITY,-87.01,USD,Checking,demo_checking_2025.csv,5,Utilities,Telecom (US)
2025-01-07,COMCAST XFINITY INTERNET,-71.23,USD,Checking,demo_checking_2025.csv,6,Utilities,Telecom (US)
2025-01-07,ZARA US 1234,-92.18,USD,Checking,demo_checking_2025.csv,7,Shopping,Clothing
2025-01-08,ZARA US 1234,-89.57,USD,Checking,demo_checking_2025.csv,8,Shopping,Clothing
2025-01-09,REI CO-OP MOUNTAIN VIEW,-206.17,USD,Checking,demo_checking_2025.csv,9,Uncategorized,
2025-01-10,BLUE SHIELD CA HEALTH PREMIUM,-428.16,USD,Checking,demo_checking_2025.csv,10,Insurance,Health insurance (US)
2025-01-12,STATE FARM AUTO INSURANCE,-141.89,USD,Checking,demo_checking_2025.csv,11,Insurance,Insurance (US)
2025-01-12,BURMA SUPERSTAR SF,-103.86,USD,Checking,demo_checking_2025.csv,12,Uncategorized,
2025-01-13,SAFEWAY STORE 0998,-104.19,USD,Checking,demo_checking_2025.csv,13,Groceries,Supermarket (US)
2025-01-13,UBER *EATS,-40.95,USD,Checking,demo_checking_2025.csv,14,Restaurants,Food delivery
2025-01-13,UBER *EATS,-53.24,USD,Checking,demo_checking_2025.csv,15,Restaurants,Food delivery
2025-01-14,NETFLIX.COM,-17.85,USD,Checking,demo_checking_2025.csv,16,Entertainment,Netflix
2025-01-14,SPOTIFY USA,-11.43,USD,Checking,demo_checking_2025.csv,17,Entertainment,Spotify
2025-01-14,CHIPOTLE 0298,-15.19,USD,Checking,demo_checking_2025.csv,18,Restaurants,Fast food
2025-01-14,UBER *TRIP SAN FRANCISCO,-21.75,USD,Checking,demo_checking_2025.csv,19,Transport,Ride-hailing
2025-01-15,PAYROLL DEPOSIT EXAMPLE CORP,2963.94,USD,Checking,demo_checking_2025.csv,20,Income,Salary
2025-01-16,APPLE.COM/BILL,-34.01,USD,Checking,demo_checking_2025.csv,21,Subscriptions,Apple
2025-01-18,ANTHROPIC CLAUDE PRO,-20.01,USD,Checking,demo_checking_2025.csv,22,Subscriptions,AI assistants
2025-01-18,STARBUCKS STORE 09221,-9.0,USD,Checking,demo_checking_2025.csv,23,Restaurants,Coffee / cafe
2025-01-20,EQUINOX FITNESS,-204.82,USD,Checking,demo_checking_2025.csv,24,Personal Care,Gym / fitness
2025-01-20,AIRBNB * HMTRPDQRS9,-281.64,USD,Checking,demo_checking_2025.csv,25,Travel,Lodging
2025-01-22,AMAZON.COM*PRIME MEMBERSHIP,-14.54,USD,Checking,demo_checking_2025.csv,26,SPLIT_AMAZON,Amazon (auto-split)
2025-01-23,SAFEWAY STORE 0998,-76.21,USD,Checking,demo_checking_2025.csv,27,Groceries,Supermarket (US)
2025-01-23,UNITED AIRLINES TKT,-508.82,USD,Checking,demo_checking_2025.csv,28,Travel,Flights
2025-01-24,CHIPOTLE 0298,-12.75,USD,Checking,demo_checking_2025.csv,29,Restaurants,Fast food
2025-01-25,NYTIMES DIGITAL SUBSCRIPTION,-17.25,USD,Checking,demo_checking_2025.csv,30,Subscriptions,News / writing
2025-01-25,REI CO-OP MOUNTAIN VIEW,-139.74,USD,Checking,demo_checking_2025.csv,31,Uncategorized,
2025-01-26,TRADER JOE'S #154 SF,-89.62,USD,Checking,demo_checking_2025.csv,32,Groceries,Supermarket (US)
2025-01-27,AIRBNB * HMTRPDQRS9,-365.39,USD,Checking,demo_checking_2025.csv,33,Travel,Lodging
2025-01-27,LYFT *RIDE,-16.52,USD,Checking,demo_checking_2025.csv,34,Transport,Ride-hailing
2025-01-28,LYFT *RIDE,-21.39,USD,Checking,demo_checking_2025.csv,35,Transport,Ride-hailing
2025-01-28,LYFT *RIDE,-21.09,USD,Checking,demo_checking_2025.csv,36,Transport,Ride-hailing
2025-01-31,PAYROLL DEPOSIT EXAMPLE CORP,2902.5,USD,Checking,demo_checking_2025.csv,37,Income,Salary
2025-02-01,RENT - PARK STREET PROPERTIES,-2698.92,USD,Checking,demo_checking_2025.csv,38,Housing,Rent
2025-02-03,PG&E ELECTRIC AUTOPAY,-97.43,USD,Checking,demo_checking_2025.csv,39,EXCLUDE,Credit card payment
2025-02-04,UNITED AIRLINES TKT,-569.61,USD,Checking,demo_checking_2025.csv,40,Travel,Flights
2025-02-04,AIRBNB * HMTRPDQRS9,-305.47,USD,Checking,demo_checking_2025.csv,41,Travel,Lodging
2025-02-05,AT&T MOBILITY,-87.35,USD,Checking,demo_checking_2025.csv,42,Utilities,Telecom (US)
2025-02-05,UBER *EATS,-33.76,USD,Checking,demo_checking_2025.csv,43,Restaurants,Food delivery
2025-02-05,CVS/PHARMACY #02184,-31.24,USD,Checking,demo_checking_2025.csv,44,Healthcare,Pharmacy
2025-02-05,AIRBNB * HMTRPDQRS9,-279.55,USD,Checking,demo_checking_2025.csv,45,Travel,Lodging
2025-02-05,LYFT *RIDE,-23.14,USD,Checking,demo_checking_2025.csv,46,Transport,Ride-hailing
2025-02-06,AMAZON.COM*A2K9P3RT0,-67.76,USD,Checking,demo_checking_2025.csv,47,SPLIT_AMAZON,Amazon (auto-split)
2025-02-07,COMCAST XFINITY INTERNET,-68.09,USD,Checking,demo_checking_2025.csv,48,Utilities,Telecom (US)
2025-02-10,BLUE SHIELD CA HEALTH PREMIUM,-392.72,USD,Checking,demo_checking_2025.csv,49,Insurance,Health insurance (US)
2025-02-11,STARBUCKS STORE 09221,-6.34,USD,Checking,demo_checking_2025.csv,50,Restaurants,Coffee / cafe
2025-02-12,STATE FARM AUTO INSURANCE,-145.27,USD,Checking,demo_checking_2025.csv,51,Insurance,Insurance (US)
2025-02-13,CHEVRON 0099,-52.44,USD,Checking,demo_checking_2025.csv,52,Transport,Fuel
2025-02-14,NETFLIX.COM,-17.57,USD,Checking,demo_checking_2025.csv,53,Entertainment,Netflix
2025-02-14,SPOTIFY USA,-11.64,USD,Checking,demo_checking_2025.csv,54,Entertainment,Spotify
2025-02-15,PAYROLL DEPOSIT EXAMPLE CORP,2964.0,USD,Checking,demo_checking_2025.csv,55,Income,Salary
2025-02-15,CVS/PHARMACY #02184,-27.1,USD,Checking,demo_checking_2025.csv,56,Healthcare,Pharmacy
2025-02-16,APPLE.COM/BILL,-36.54,USD,Checking,demo_checking_2025.csv,57,Subscriptions,Apple
2025-02-17,ZARA US 1234,-83.46,USD,Checking,demo_checking_2025.csv,58,Shopping,Clothing
2025-02-18,ANTHROPIC CLAUDE PRO,-20.75,USD,Checking,demo_checking_2025.csv,59,Subscriptions,AI assistants
2025-02-18,WHOLE FOODS MKT 12345 SF,-179.05,USD,Checking,demo_checking_2025.csv,60,Groceries,Supermarket (US)
2025-02-18,ZARA US 1234,-124.52,USD,Checking,demo_checking_2025.csv,61,Shopping,Clothing
2025-02-19,CHEVRON 0099,-46.08,USD,Checking,demo_checking_2025.csv,62,Transport,Fuel
2025-02-20,EQUINOX FITNESS,-211.02,USD,Checking,demo_checking_2025.csv,63,Personal Care,Gym / fitness
2025-02-21,CVS/PHARMACY #02184,-33.21,USD,Checking,demo_checking_2025.csv,64,Healthcare,Pharmacy
2025-02-22,AMAZON.COM*PRIME MEMBERSHIP,-15.22,USD,Checking,demo_checking_2025.csv,65,SPLIT_AMAZON,Amazon (auto-split)
2025-02-22,SHELL OIL 12345,-61.13,USD,Checking,demo_checking_2025.csv,66,Transport,Fuel
2025-02-24,WALGREENS #04456,-38.31,USD,Checking,demo_checking_2025.csv,67,Healthcare,Pharmacy
2025-02-24,HOME DEPOT 0099,-150.1,USD,Checking,demo_checking_2025.csv,68,Shopping,Home improvement
2025-02-24,BART TICKETS,-8.81,USD,Checking,demo_checking_2025.csv,69,Transport,Public transport (US)
2025-02-25,NYTIMES DIGITAL SUBSCRIPTION,-16.82,USD,Checking,demo_checking_2025.csv,70,Subscriptions,News / writing
2025-02-25,TRADER JOE'S #154 SF,-95.33,USD,Checking,demo_checking_2025.csv,71,Groceries,Supermarket (US)
2025-02-25,UBER *EATS,-48.18,USD,Checking,demo_checking_2025.csv,72,Restaurants,Food delivery
2025-02-28,PAYROLL DEPOSIT EXAMPLE CORP,2955.69,USD,Checking,demo_checking_2025.csv,73,Income,Salary
2025-03-01,RENT - PARK STREET PROPERTIES,-2646.98,USD,Checking,demo_checking_2025.csv,74,Housing,Rent
2025-03-01,HOME DEPOT 0099,-160.79,USD,Checking,demo_checking_2025.csv,75,Shopping,Home improvement
2025-03-03,PG&E ELECTRIC AUTOPAY,-90.54,USD,Checking,demo_checking_2025.csv,76,EXCLUDE,Credit card payment
2025-03-03,TRADER JOE'S #154 SF,-95.26,USD,Checking,demo_checking_2025.csv,77,Groceries,Supermarket (US)
2025-03-03,CVS/PHARMACY #02184,-26.87,USD,Checking,demo_checking_2025.csv,78,Healthcare,Pharmacy
2025-03-05,AT&T MOBILITY,-83.84,USD,Checking,demo_checking_2025.csv,79,Utilities,Telecom (US)
2025-03-05,UNITED AIRLINES TKT,-464.45,USD,Checking,demo_checking_2025.csv,80,Travel,Flights
2025-03-05,BART TICKETS,-12.52,USD,Checking,demo_checking_2025.csv,81,Transport,Public transport (US)
2025-03-07,COMCAST XFINITY INTERNET,-73.39,USD,Checking,demo_checking_2025.csv,82,Utilities,Telecom (US)
2025-03-07,WALGREENS #04456,-42.73,USD,Checking,demo_checking_2025.csv,83,Healthcare,Pharmacy
2025-03-08,CHIPOTLE 0298,-11.91,USD,Checking,demo_checking_2025.csv,84,Restaurants,Fast food
2025-03-10,BLUE SHIELD CA HEALTH PREMIUM,-424.64,USD,Checking,demo_checking_2025.csv,85,Insurance,Health insurance (US)
2025-03-12,STATE FARM AUTO INSURANCE,-144.14,USD,Checking,demo_checking_2025.csv,86,Insurance,Insurance (US)
2025-03-13,UNITED AIRLINES TKT,-509.29,USD,Checking,demo_checking_2025.csv,87,Travel,Flights
2025-03-14,NETFLIX.COM,-17.52,USD,Checking,demo_checking_2025.csv,88,Entertainment,Netflix
2025-03-14,SPOTIFY USA,-12.07,USD,Checking,demo_checking_2025.csv,89,Entertainment,Spotify
2025-03-15,PAYROLL DEPOSIT EXAMPLE CORP,2991.85,USD,Checking,demo_checking_2025.csv,90,Income,Salary
2025-03-15,CVS/PHARMACY #02184,-30.52,USD,Checking,demo_checking_2025.csv,91,Healthcare,Pharmacy
2025-03-16,APPLE.COM/BILL,-33.52,USD,Checking,demo_checking_2025.csv,92,Subscriptions,Apple
2025-03-18,ANTHROPIC CLAUDE PRO,-20.46,USD,Checking,demo_checking_2025.csv,93,Subscriptions,AI assistants
2025-03-18,RESTAURANT FOREIGN CINEMA,-107.41,USD,Checking,demo_checking_2025.csv,94,Restaurants,Restaurant
2025-03-18,TRANSFER TO BROKERAGE ACCT 0000,-2000.0,USD,Checking,demo_checking_2025.csv,95,TRANSFER,transfer to Brokerage
2025-03-19,CHIPOTLE 0298,-11.42,USD,Checking,demo_checking_2025.csv,96,Restaurants,Fast food
2025-03-19,HOME DEPOT 0099,-153.87,USD,Checking,demo_checking_2025.csv,97,Shopping,Home improvement
2025-03-20,EQUINOX FITNESS,-221.79,USD,Checking,demo_checking_2025.csv,98,Personal Care,Gym / fitness
2025-03-22,AMAZON.COM*PRIME MEMBERSHIP,-15.71,USD,Checking,demo_checking_2025.csv,99,SPLIT_AMAZON,Amazon (auto-split)
2025-03-22,TARGET 00012345,-63.33,USD,Checking,demo_checking_2025.csv,100,Uncategorized,
2025-03-23,BURMA SUPERSTAR SF,-106.08,USD,Checking,demo_checking_2025.csv,101,Uncategorized,
2025-03-23,AIRBNB * HMTRPDQRS9,-260.62,USD,Checking,demo_checking_2025.csv,102,Travel,Lodging
2025-03-25,NYTIMES DIGITAL SUBSCRIPTION,-17.06,USD,Checking,demo_checking_2025.csv,103,Subscriptions,News / writing
2025-03-28,DR MARTINEZ DENTAL CLINIC,-252.93,USD,Checking,demo_checking_2025.csv,104,Healthcare,Doctor / clinic
2025-03-31,PAYROLL DEPOSIT EXAMPLE CORP,2959.89,USD,Checking,demo_checking_2025.csv,105,Income,Salary
2025-04-01,RENT - PARK STREET PROPERTIES,-2567.96,USD,Checking,demo_checking_2025.csv,106,Housing,Rent
2025-04-02,HOME DEPOT 0099,-176.28,USD,Checking,demo_checking_2025.csv,107,Shopping,Home improvement
2025-04-02,BART TICKETS,-9.09,USD,Checking,demo_checking_2025.csv,108,Transport,Public transport (US)
2025-04-02,HOME DEPOT 0099,-154.22,USD,Checking,demo_checking_2025.csv,109,Shopping,Home improvement
2025-04-03,PG&E ELECTRIC AUTOPAY,-90.4,USD,Checking,demo_checking_2025.csv,110,EXCLUDE,Credit card payment
2025-04-03,ZARA US 1234,-120.45,USD,Checking,demo_checking_2025.csv,111,Shopping,Clothing
2025-04-05,AT&T MOBILITY,-84.41,USD,Checking,demo_checking_2025.csv,112,Utilities,Telecom (US)
2025-04-05,BURMA SUPERSTAR SF,-84.5,USD,Checking,demo_checking_2025.csv,113,Uncategorized,
2025-04-06,UBER *EATS,-41.16,USD,Checking,demo_checking_2025.csv,114,Restaurants,Food delivery
2025-04-06,SHELL OIL 12345,-57.63,USD,Checking,demo_checking_2025.csv,115,Transport,Fuel
2025-04-06,CHEVRON 0099,-36.3,USD,Checking,demo_checking_2025.csv,116,Transport,Fuel
2025-04-07,COMCAST XFINITY INTERNET,-69.46,USD,Checking,demo_checking_2025.csv,117,Utilities,Telecom (US)
2025-04-07,CHEVRON 0099,-60.77,USD,Checking,demo_checking_2025.csv,118,Transport,Fuel
2025-04-10,BLUE SHIELD CA HEALTH PREMIUM,-410.64,USD,Checking,demo_checking_2025.csv,119,Insurance,Health insurance (US)
2025-04-12,STATE FARM AUTO INSURANCE,-151.39,USD,Checking,demo_checking_2025.csv,120,Insurance,Insurance (US)
2025-04-13,UBER *EATS,-51.8,USD,Checking,demo_checking_2025.csv,121,Restaurants,Food delivery
2025-04-14,NETFLIX.COM,-18.3,USD,Checking,demo_checking_2025.csv,122,Entertainment,Netflix
2025-04-14,SPOTIFY USA,-12.57,USD,Checking,demo_checking_2025.csv,123,Entertainment,Spotify
2025-04-15,PAYROLL DEPOSIT EXAMPLE CORP,2978.46,USD,Checking,demo_checking_2025.csv,124,Income,Salary
2025-04-16,APPLE.COM/BILL,-33.58,USD,Checking,demo_checking_2025.csv,125,Subscriptions,Apple
