month,Entertainment,Groceries,Healthcare,Housing,Income,Insurance,Personal Care,Restaurants,SPLIT_AMAZON,Shopping,Subscriptions,Transport,Travel,Uncategorized,Utilities
2025-01,-29.28,-270.02,0,-2590.38,5866.44,-570.05,-204.82,-149.87,-14.54,-181.75,-71.27,-119.62,-1155.85,-449.77,-158.24
2025-02,-29.21,-274.38,-129.86,-2698.92,5919.69,-537.99,-211.02,-88.28,-82.98,-358.08,-74.11,-191.6,-1154.63,0,-155.44
2025-03,-29.59,-95.26,-353.05,-2646.98,5951.74,-568.78,-221.79,-130.74,-15.71,-314.66,-71.04,-12.52,-1234.36,-169.41,-157.23
2025-04,-30.87,-98.17,-73.67,-2567.96,5959.21,-562.03,-211.55,-92.96,-172.3,-450.95,-69.96,-176.64,-526.89,-84.5,-153.87
2025-05,-30.34,-258.39,-73.31,-2717.62,5945.05,-547.55,-205.1,-190.58,-97.99,-198.47,-72.66,-21.22,-1330.5,-250.85,-154.96
2025-06,-31.01,-192.19,0,-2936.28,5846.44,-556.77,-212.19,-464.82,-15.07,0,-69.71,-121.06,-970.77,-211.92,-155.94
2025-07,-60.22,-382.9,0,-5278.96,11807.8,-1071.66,-436.08,-823.66,-29.68,0,-148.0,-715.32,-1157.7,-873.22,-311.18
2025-08,-58.5,-395.88,-673.14,-6057.28,11823.94,-1134.62,-443.7,-78.68,-430.96,-400.2,-144.84,-98.34,-714.74,-153.52,-315.14
2025-09,-58.88,-538.58,-87.3,-5572.26,11804.14,-1142.42,-422.94,-31.04,-259.6,-401.02,-143.0,-682.26,0,-144.9,-312.64
2025-10,-29.12,-99.67,-667.13,-2757.84,5951.48,-562.49,-211.51,-143.5,-15.56,-566.24,-70.92,-64.22,-666.84,-278.92,-153.47
2025-11,-30.97,-176.96,-320.46,-2989.52,5877.56,-567.44,-213.61,-107.57,-15.34,-99.25,-74.34,-10.63,-439.72,-587.26,-156.09
2025-12,-29.31,-150.85,-262.62,-2664.17,5903.3,-553.21,-220.22,-179.51,-100.54,-334.64,-72.71,-59.64,-378.1,-202.47,-159.56
